
========== Supervised Training Begin ==========

** Initial learning rate: 0.001000000 **

Time 0.34367, Epoch 5, Batch 36, Loss = 1.95248, Training Accuracy = 0.2700
Time 0.34367, Epoch 5, Batch 37, Loss = 1.83654, Training Accuracy = 0.2000
Time 0.34367, Epoch 5, Batch 38, Loss = 1.92438, Training Accuracy = 0.2500
Time 0.34367, Epoch 5, Batch 39, Loss = 1.87634, Training Accuracy = 0.2800

Time 14.09045, Epoch 5, Average Loss = 1.94765, Training Average Accuracy = 0.2340

Time 0.37491, Epoch 6, Batch 0, Loss = 1.81853, Training Accuracy = 0.2600
Time 0.34367, Epoch 6, Batch 1, Loss = 1.81584, Training Accuracy = 0.2600
Time 0.34367, Epoch 6, Batch 2, Loss = 1.82362, Training Accuracy = 0.3200
Time 0.35929, Epoch 6, Batch 3, Loss = 1.71613, Training Accuracy = 0.3100
Time 0.34367, Epoch 6, Batch 4, Loss = 1.77415, Training Accuracy = 0.2800
Time 0.34367, Epoch 6, Batch 5, Loss = 1.83543, Training Accuracy = 0.2400
Time 0.34367, Epoch 6, Batch 6, Loss = 1.96582, Training Accuracy = 0.2300
Time 0.34367, Epoch 6, Batch 7, Loss = 1.91169, Training Accuracy = 0.2900
Time 0.34367, Epoch 6, Batch 8, Loss = 1.83669, Training Accuracy = 0.2500
Time 0.35929, Epoch 6, Batch 9, Loss = 1.81616, Training Accuracy = 0.3200
Time 0.34367, Epoch 6, Batch 10, Loss = 1.80649, Training Accuracy = 0.3100
Time 0.35929, Epoch 6, Batch 11, Loss = 1.76435, Training Accuracy = 0.2500
Time 0.34367, Epoch 6, Batch 12, Loss = 1.79913, Training Accuracy = 0.2400
Time 0.35929, Epoch 6, Batch 13, Loss = 1.91971, Training Accuracy = 0.1800
Time 0.34367, Epoch 6, Batch 14, Loss = 1.92548, Training Accuracy = 0.2300
Time 0.34367, Epoch 6, Batch 15, Loss = 1.96015, Training Accuracy = 0.2200
Time 0.34367, Epoch 6, Batch 16, Loss = 1.84208, Training Accuracy = 0.2300
Time 0.34367, Epoch 6, Batch 17, Loss = 1.81318, Training Accuracy = 0.3100
Time 0.35929, Epoch 6, Batch 18, Loss = 1.89763, Training Accuracy = 0.2100
Time 0.34367, Epoch 6, Batch 19, Loss = 1.95513, Training Accuracy = 0.1800
Time 0.35929, Epoch 6, Batch 20, Loss = 1.77329, Training Accuracy = 0.3200
Time 0.35929, Epoch 6, Batch 21, Loss = 1.86046, Training Accuracy = 0.2800
Time 0.34367, Epoch 6, Batch 22, Loss = 1.84870, Training Accuracy = 0.2700
Time 0.35929, Epoch 6, Batch 23, Loss = 1.88821, Training Accuracy = 0.2800
Time 0.34367, Epoch 6, Batch 24, Loss = 1.89432, Training Accuracy = 0.1700
Time 0.34367, Epoch 6, Batch 25, Loss = 1.81167, Training Accuracy = 0.2800
Time 0.34367, Epoch 6, Batch 26, Loss = 1.95419, Training Accuracy = 0.2000
Time 0.34367, Epoch 6, Batch 27, Loss = 1.81371, Training Accuracy = 0.2400
Time 0.35929, Epoch 6, Batch 28, Loss = 1.83735, Training Accuracy = 0.3500
Time 0.34367, Epoch 6, Batch 29, Loss = 1.92683, Training Accuracy = 0.1900
Time 0.35929, Epoch 6, Batch 30, Loss = 1.88265, Training Accuracy = 0.2400
Time 0.34367, Epoch 6, Batch 31, Loss = 1.87998, Training Accuracy = 0.2300
Time 0.35929, Epoch 6, Batch 32, Loss = 1.76977, Training Accuracy = 0.3000
Time 0.34367, Epoch 6, Batch 33, Loss = 1.96652, Training Accuracy = 0.2700
Time 0.34367, Epoch 6, Batch 34, Loss = 1.80956, Training Accuracy = 0.2300
Time 0.34367, Epoch 6, Batch 35, Loss = 1.84399, Training Accuracy = 0.2200
Time 0.34367, Epoch 6, Batch 36, Loss = 1.83202, Training Accuracy = 0.3000
Time 0.34367, Epoch 6, Batch 37, Loss = 1.92349, Training Accuracy = 0.2200
Time 0.34367, Epoch 6, Batch 38, Loss = 1.82579, Training Accuracy = 0.2100
Time 0.35929, Epoch 6, Batch 39, Loss = 2.00507, Training Accuracy = 0.2000

Time 14.12170, Epoch 6, Average Loss = 1.85862, Training Average Accuracy = 0.2530

Time 0.37491, Epoch 7, Batch 0, Loss = 1.78189, Training Accuracy = 0.3300
Time 0.35929, Epoch 7, Batch 1, Loss = 1.93158, Training Accuracy = 0.3000
Time 0.34367, Epoch 7, Batch 2, Loss = 1.93207, Training Accuracy = 0.2700
Time 0.35929, Epoch 7, Batch 3, Loss = 1.88102, Training Accuracy = 0.2900
Time 0.34367, Epoch 7, Batch 4, Loss = 1.80723, Training Accuracy = 0.2600
